ticker,industry,link,name,stockID
ZAHINTEX,Textile,http://lankabd.com/dse/stock-market/ZAHINTEX/zahintex-industries-limited/financial-statements?companyId=286&stockId=273,Zahintex Industries Limited,273
EASTLAND ,Insurance,http://lankabd.com/dse/stock-market/EASTLAND/eastland-insurance-company-limited/financial-statements?companyId=198&stockId=198,Eastland Insurance Company Limited,198
BDTHAI,Engineering,http://lankabd.com/dse/stock-market/BDTHAI/bangladesh-thai-aluminium-limited/financial-statements?companyId=48&stockId=48,Bangladesh Thai Aluminium Limited,48
FASFIN,Financial Institutions,http://lankabd.com/dse/stock-market/FASFIN/fas-finance-&-investment-limited/financial-statements?companyId=69&stockId=69,FAS Finance & Investment Limited,69
RNSPIN,Textile,http://lankabd.com/dse/stock-market/RNSPIN/r.n.-spinning-mills-limited/financial-statements?companyId=179&stockId=179,R.N. Spinning Mills Limited,179
RUPALIINS,Insurance,http://lankabd.com/dse/stock-market/RUPALIINS/rupali-insurance-company-limited/financial-statements?companyId=225&stockId=225,Rupali Insurance Company Limited,225
AGNISYSL,IT Sector,http://lankabd.com/dse/stock-market/AGNISYSL/agni-systems-limited/financial-statements?companyId=113&stockId=113,Agni Systems Limited,113
DELTALIFE,Insurance,http://lankabd.com/dse/stock-market/DELTALIFE/delta-life-insurance-limited/financial-statements?companyId=195&stockId=195,Delta Life Insurance Limited,195
RAKCERAMIC,Ceramics Sector,http://lankabd.com/dse/stock-market/RAKCERAMIC/rak-ceramics-(bangladesh)-limited/financial-statements?companyId=10&stockId=10,Bangladesh) Limited,10
APEXTANRY,Tannery Industries,http://lankabd.com/dse/stock-market/APEXTANRY/apex-tannery-limited/financial-statements?companyId=156&stockId=156,Apex Tannery Limited,156
LRGLOBMF1,Mutual Funds,http://lankabd.com/dse/stock-market/LRGLOBMF1/lr-global-bangladesh-mutual-fund-one/financial-statements?companyId=232&stockId=232,LR Global Bangladesh Mutual Fund One,232
SUMITPOWER,Fuel & Power,http://lankabd.com/dse/stock-market/SUMITPOWER/summit-power-limited/financial-statements?companyId=111&stockId=111,Summit Power Limited,111
TALLUSPIN,Textile,http://lankabd.com/dse/stock-market/TALLUSPIN/tallu-spinning-spinning-mills-limited/financial-statements?companyId=185&stockId=185,Tallu Spinning Spinning Mills Limited,185
PHARMAID,Pharmaceuticals & Chemicals,http://lankabd.com/dse/stock-market/PHARMAID/pharma-aids-limited/financial-statements?companyId=146&stockId=146,Pharma Aids Limited,146
APEXFOODS,Food & Allied,http://lankabd.com/dse/stock-market/APEXFOODS/apexfoods-/financial-statements?companyId=87&stockId=87,Apex Foods Limited,87
NAVANACNG,Engineering,http://lankabd.com/dse/stock-market/NAVANACNG/navana-cng-limited/financial-statements?companyId=56&stockId=56,Navana CNG Limited,56
ALLTEX,Textile,http://lankabd.com/dse/stock-market/ALLTEX/alltex-industries-limited/financial-statements?companyId=162&stockId=162,Alltex Industries Limited,162
STYLECRAFT,Textile,http://lankabd.com/dse/stock-market/STYLECRAFT/stylecraft-limited/financial-statements?companyId=184&stockId=184,Stylecraft Limited,184
ETL,Textile,http://lankabd.com/dse/stock-market/ETL/evince-textiles-limited/financial-statements?companyId=370&stockId=646,Evince Textiles Limited,646
PRIMEINSUR,Insurance,http://lankabd.com/dse/stock-market/PRIMEINSUR/prime-insurance-company-limited/financial-statements?companyId=218&stockId=218,Prime Insurance Company Limited,218
SQURPHARMA,Pharmaceuticals & Chemicals,http://lankabd.com/dse/stock-market/SQURPHARMA/square-pharmaceuticals-limited/financial-statements?companyId=150&stockId=150,Square Pharmaceuticals Limited,150
DSHGARME,Textile,http://lankabd.com/dse/stock-market/DSHGARME/desh-garmants-limited/financial-statements?companyId=169&stockId=169,Desh Garmants Limited,169
DBH1STMF,Mutual Funds,http://lankabd.com/dse/stock-market/DBH1STMF/dbh-first-mutual-fund/financial-statements?companyId=249&stockId=249,DBH First Mutual Fund,249
SEBL1STMF,Mutual Funds,http://lankabd.com/dse/stock-market/SEBL1STMF/southeast-bank-1st-mutual-fund/financial-statements?companyId=269&stockId=269,Southeast Bank 1st Mutual Fund,269
PHENIXINS,Insurance,http://lankabd.com/dse/stock-market/PHENIXINS/phoenix-insurance-company-ltd./financial-statements?companyId=213&stockId=213,Phoenix Insurance Company Ltd.,213
ANWARGALV,Engineering,http://lankabd.com/dse/stock-market/ANWARGALV/anwar-galvanizing-limited/financial-statements?companyId=43&stockId=43,Anwar Galvanizing Limited,43
UTTARABANK,Bank,http://lankabd.com/dse/stock-market/UTTARABANK/uttara-bank-limited/financial-statements?companyId=41&stockId=41,Uttara Bank Limited,41
RSRMSTEEL,Engineering,http://lankabd.com/dse/stock-market/RSRMSTEEL/rsrmsteel/financial-statements?companyId=344&stockId=620,Ratanpur Steel Re-Rolling Mills Limited,620
SAMORITA,Services & Real Estate,http://lankabd.com/dse/stock-market/SAMORITA/samorita-hospital-limited/financial-statements?companyId=153&stockId=153,Samorita Hospital Limited,153
FEKDIL,Textile,http://lankabd.com/dse/stock-market/FEKDIL/far-east-knitting-&-dyeing-industries-limited/financial-statements?companyId=341&stockId=611,Far East Knitting & Dyeing Industries Limited,611
EMERALDOIL,Food & Allied,http://lankabd.com/dse/stock-market/EMERALDOIL/emeraldoil/financial-statements?companyId=333&stockId=604,Emerald Oil Industries Limited,604
ACIFORMULA,Pharmaceuticals & Chemicals,http://lankabd.com/dse/stock-market/ACIFORMULA/aci-formulations-limited/financial-statements?companyId=132&stockId=132,ACI Formulations Limited,132
PIONEERINS,Insurance,http://lankabd.com/dse/stock-market/PIONEERINS/pioneer-insurance-comapny-limited/financial-statements?companyId=214&stockId=214,Pioneer Insurance Comapny Limited,214
TUNGHAI,Textile,http://lankabd.com/dse/stock-market/TUNGHAI/tung-hai-knitting-&-dyeing-limited/financial-statements?companyId=340&stockId=617,Tung Hai Knitting & Dyeing Limited,617
ASIAINS,Insurance,http://lankabd.com/dse/stock-market/ASIAINS/asia-insurance-limited/financial-statements?companyId=189&stockId=189,Asia Insurance Limited,189
DACCADYE,Textile,http://lankabd.com/dse/stock-market/DACCADYE/the-dacca-dyeing-&-manufacturing-co.limited/financial-statements?companyId=167&stockId=167,The Dacca Dyeing & Manufacturing Co.Limited,167
UCB,Bank,http://lankabd.com/dse/stock-market/UCB/united-commercial-bank-limited/financial-statements?companyId=40&stockId=40,United Commercial Bank Limited,40
HRTEX,Textile,http://lankabd.com/dse/stock-market/HRTEX/h.r.textile-mills-limited/financial-statements?companyId=171&stockId=171,H.R.Textile Mills Limited,171
EHL,Services & Real Estate,http://lankabd.com/dse/stock-market/EHL/eastern-housing-limited/financial-statements?companyId=151&stockId=151,Eastern Housing Limited,151
BNICL,Insurance,http://lankabd.com/dse/stock-market/BNICL/bangladesh-national-insurance-company-limited/financial-statements?companyId=360&stockId=645,Bangladesh National Insurance Company Limited,645
ARAMITCEM ,Cement,http://lankabd.com/dse/stock-market/ARAMITCEM/aramit-cement/financial-statements?companyId=2&stockId=2,Aramit Cement,2
LINDEBD,Fuel & Power,http://lankabd.com/dse/stock-market/LINDEBD/linde-bangladesh-limited/financial-statements?companyId=302&stockId=289,Linde Bangladesh Limited,289
